Home_team,Away_team,Score,Time,League,Year
Rapid Wien,Wolfsberger AC,1:0 (1:0),19:30,aut-bundesliga,2020
SKN St. Pölten,LASK,1:3 (0:2),17:30,aut-bundesliga,2020
FC Admira Wacker,SCR Altach,3:1 (1:0),17:30,aut-bundesliga,2020
RB Salzburg,Austria Wien,3:1 (0:0),19:30,aut-bundesliga,2020
TSV Hartberg,WSG Tirol,1:0 (0:0),17:30,aut-bundesliga,2020
WSG Tirol,RB Salzburg,2:4 (1:1),16:00,aut-bundesliga,2020
SCR Altach,Rapid Wien,0:0 (0:0),16:00,aut-bundesliga,2020
Wolfsberger AC,FC Admira Wacker,2:1 (1:1),16:00,aut-bundesliga,2020
Austria Wien,TSV Hartberg,0:1 (0:1),13:30,aut-bundesliga,2020
SV Ried,SKN St. Pölten,1:1 (1:0),13:30,aut-bundesliga,2020
LASK,Sturm Graz,2:0 (1:0),16:00,aut-bundesliga,2020
Austria Wien,SCR Altach,5:1 (0:1),16:00,aut-bundesliga,2020
WSG Tirol,SKN St. Pölten,0:1 (0:0),16:00,aut-bundesliga,2020
TSV Hartberg,SV Ried,1:1 (1:1),16:00,aut-bundesliga,2020
Sturm Graz,Wolfsberger AC,1:2 (1:1),13:30,aut-bundesliga,2020
FC Admira Wacker,LASK,1:2 (0:1),13:30,aut-bundesliga,2020
RB Salzburg,Rapid Wien,4:2 (1:0),16:00,aut-bundesliga,2020
LASK,TSV Hartberg,1:2 (1:2),16:00,aut-bundesliga,2020
FC Admira Wacker,WSG Tirol,1:1 (1:0),16:00,aut-bundesliga,2020
Rapid Wien,SV Ried,1:0 (0:0),16:00,aut-bundesliga,2020
SKN St. Pölten,Austria Wien,0:2 (0:2),13:30,aut-bundesliga,2020
Wolfsberger AC,SCR Altach,0:1 (0:0),13:30,aut-bundesliga,2020
Sturm Graz,RB Salzburg,2:1 (2:0),16:00,aut-bundesliga,2020
SCR Altach,LASK,0:1 (0:1),16:00,aut-bundesliga,2020
WSG Tirol,Sturm Graz,1:1 (0:0),16:00,aut-bundesliga,2020
TSV Hartberg,FC Admira Wacker,2:1 (1:1),16:00,aut-bundesliga,2020
SV Ried,Wolfsberger AC,0:4 (0:2),13:30,aut-bundesliga,2020
RB Salzburg,SKN St. Pölten,4:1 (2:1),13:30,aut-bundesliga,2020
Austria Wien,Rapid Wien,0:0 (0:0),16:00,aut-bundesliga,2020
RB Salzburg,FC Admira Wacker,3:1 (3:0),16:00,aut-bundesliga,2020
Rapid Wien,TSV Hartberg,4:0 (1:0),16:00,aut-bundesliga,2020
Sturm Graz,Austria Wien,2:1 (0:0),16:00,aut-bundesliga,2020
SKN St. Pölten,SCR Altach,0:1 (0:0),16:00,aut-bundesliga,2020
Wolfsberger AC,WSG Tirol,3:5 (1:3),16:00,aut-bundesliga,2020
SV Ried,LASK,0:3 (0:1),16:00,aut-bundesliga,2020
LASK,RB Salzburg,0:1 (0:1),16:00,aut-bundesliga,2020
WSG Tirol,Rapid Wien,1:1 (0:0),16:00,aut-bundesliga,2020
Austria Wien,Wolfsberger AC,3:5 (1:3),16:00,aut-bundesliga,2020
FC Admira Wacker,Sturm Graz,0:0 (0:0),16:00,aut-bundesliga,2020
TSV Hartberg,SKN St. Pölten,3:3 (0:1),16:00,aut-bundesliga,2020
SCR Altach,SV Ried,2:1 (0:1),16:00,aut-bundesliga,2020
Sturm Graz,RB Salzburg,1:3 (1:0),19:30,aut-bundesliga,2021
Rapid Wien,TSV Hartberg,0:2 (0:1),16:00,aut-bundesliga,2021
SCR Altach,LASK,0:1 (0:1),16:00,aut-bundesliga,2021
WSG Tirol,FC Admira Wacker,1:1 (0:0),16:00,aut-bundesliga,2021
SV Ried,Austria Wien,2:1 (0:0),16:00,aut-bundesliga,2021
SK Austria Klagenfurt,Wolfsberger AC,1:1 (0:1),16:00,aut-bundesliga,2021
LASK,Rapid Wien,1:1 (0:1),16:00,aut-bundesliga,2021
FC Admira Wacker,SK Austria Klagenfurt,4:0 (0:0),16:00,aut-bundesliga,2021
TSV Hartberg,SCR Altach,1:2 (0:2),16:00,aut-bundesliga,2021
Austria Wien,WSG Tirol,1:1 (0:1),16:00,aut-bundesliga,2021
Wolfsberger AC,Sturm Graz,1:4 (1:4),16:00,aut-bundesliga,2021
RB Salzburg,SV Ried,7:1 (2:0),16:00,aut-bundesliga,2021
SK Austria Klagenfurt,TSV Hartberg,4:3 (2:1),16:00,aut-bundesliga,2021
Sturm Graz,SCR Altach,3:1 (1:0),16:00,aut-bundesliga,2021
SV Ried,FC Admira Wacker,2:1 (2:0),16:00,aut-bundesliga,2021
Rapid Wien,Wolfsberger AC,3:0 (1:0),16:00,aut-bundesliga,2021
WSG Tirol,LASK,1:1 (1:0),16:00,aut-bundesliga,2021
RB Salzburg,Austria Wien,1:0 (0:0),16:00,aut-bundesliga,2021
FC Admira Wacker,RB Salzburg,0:1 (0:0),16:00,aut-bundesliga,2021
TSV Hartberg,SV Ried,1:1 (0:1),16:00,aut-bundesliga,2021
Wolfsberger AC,WSG Tirol,2:2 (1:1),16:00,aut-bundesliga,2021
SCR Altach,Rapid Wien,2:1 (0:0),16:00,aut-bundesliga,2021
LASK,Sturm Graz,1:3 (0:0),16:00,aut-bundesliga,2021
Austria Wien,SK Austria Klagenfurt,1:1 (0:0),16:00,aut-bundesliga,2021
Wolfsberger AC,FC Admira Wacker,3:0 (2:0),16:00,aut-bundesliga,2021
RB Salzburg,SK Austria Klagenfurt,3:1 (1:1),16:00,aut-bundesliga,2021
WSG Tirol,SCR Altach,0:0 (0:0),16:00,aut-bundesliga,2021
Rapid Wien,SV Ried,3:0 (1:0),16:00,aut-bundesliga,2021
Sturm Graz,Austria Wien,2:2 (0:1),16:00,aut-bundesliga,2021
LASK,TSV Hartberg,1:1 (0:0),16:00,aut-bundesliga,2021
SK Austria Klagenfurt,WSG Tirol,2:1 (2:1),16:00,aut-bundesliga,2021
TSV Hartberg,RB Salzburg,0:1 (0:1),16:00,aut-bundesliga,2021
SCR Altach,Wolfsberger AC,1:2 (1:2),16:00,aut-bundesliga,2021
Austria Wien,Rapid Wien,1:1 (1:0),16:00,aut-bundesliga,2021
FC Admira Wacker,Sturm Graz,1:1 (0:1),16:00,aut-bundesliga,2021
SV Ried,LASK,1:0 (1:0),16:00,aut-bundesliga,2021
WSG Tirol,RB Salzburg,1:3 (0:1),16:00,aut-bundesliga,2021
Rapid Wien,FC Admira Wacker,1:2 (1:0),16:00,aut-bundesliga,2021
Wolfsberger AC,TSV Hartberg,1:3 (0:2),16:00,aut-bundesliga,2021
LASK,Austria Wien,0:2 (0:0),13:30,aut-bundesliga,2021
SCR Altach,SV Ried,1:1 (1:1),13:30,aut-bundesliga,2021
Sturm Graz,SK Austria Klagenfurt,2:1 (1:1),16:00,aut-bundesliga,2021
SV Ried,Wolfsberger AC,3:3 (0:2),16:00,aut-bundesliga,2021
Austria Wien,SCR Altach,0:0 (0:0),16:00,aut-bundesliga,2021
FC Admira Wacker,TSV Hartberg,1:1 (1:0),16:00,aut-bundesliga,2021
SK Austria Klagenfurt,LASK,1:1 (0:1),13:30,aut-bundesliga,2021
Sturm Graz,WSG Tirol,5:0 (2:0),13:30,aut-bundesliga,2021
RB Salzburg,Rapid Wien,2:0 (0:0),16:00,aut-bundesliga,2021
Wolfsberger AC,RB Salzburg,0:2 (0:1),16:00,aut-bundesliga,2021
WSG Tirol,SV Ried,4:2 (3:0),16:00,aut-bundesliga,2021
SCR Altach,SK Austria Klagenfurt,0:4 (0:1),16:00,aut-bundesliga,2021
TSV Hartberg,Austria Wien,3:4 (2:3),13:30,aut-bundesliga,2021
LASK,FC Admira Wacker,3:1 (0:1),13:30,aut-bundesliga,2021
Rapid Wien,Sturm Graz,0:3 (0:1),16:00,aut-bundesliga,2021
SV Ried,SK Austria Klagenfurt,1:1 (1:0),16:00,aut-bundesliga,2021
Wolfsberger AC,Austria Wien,1:0 (1:0),16:00,aut-bundesliga,2021
FC Admira Wacker,SCR Altach,2:0 (1:0),16:00,aut-bundesliga,2021
Rapid Wien,WSG Tirol,5:2 (1:1),13:30,aut-bundesliga,2021
TSV Hartberg,Sturm Graz,3:2 (2:0),13:30,aut-bundesliga,2021
RB Salzburg,LASK,3:1 (2:0),16:00,aut-bundesliga,2021
Austria Wien,FC Admira Wacker,2:2 (1:1),16:00,aut-bundesliga,2021
SK Austria Klagenfurt,Rapid Wien,1:1 (0:1),16:00,aut-bundesliga,2021
SCR Altach,RB Salzburg,1:1 (1:1),16:00,aut-bundesliga,2021
LASK,Wolfsberger AC,0:1 (0:0),13:30,aut-bundesliga,2021
WSG Tirol,TSV Hartberg,2:2 (1:1),13:30,aut-bundesliga,2021
Sturm Graz,SV Ried,1:0 (1:0),16:00,aut-bundesliga,2021
FC Admira Wacker,WSG Tirol,0:1 (0:0),16:00,aut-bundesliga,2021
Austria Wien,SV Ried,4:1 (2:1),16:00,aut-bundesliga,2021
Wolfsberger AC,SK Austria Klagenfurt,2:1 (1:0),16:00,aut-bundesliga,2021
TSV Hartberg,Rapid Wien,1:1 (0:1),13:30,aut-bundesliga,2021
LASK,SCR Altach,0:1 (0:0),13:30,aut-bundesliga,2021
RB Salzburg,Sturm Graz,4:1 (2:0),16:00,aut-bundesliga,2021
SK Austria Klagenfurt,FC Admira Wacker,3:3 (2:2),16:00,aut-bundesliga,2021
SCR Altach,TSV Hartberg,0:2 (0:1),16:00,aut-bundesliga,2021
SV Ried,RB Salzburg,2:2 (1:0),16:00,aut-bundesliga,2021
WSG Tirol,Austria Wien,1:1 (0:0),13:30,aut-bundesliga,2021
Sturm Graz,Wolfsberger AC,0:3 (0:1),13:30,aut-bundesliga,2021
Rapid Wien,LASK,3:2 (1:1),16:00,aut-bundesliga,2021
TSV Hartberg,SK Austria Klagenfurt,0:2 (0:2),16:00,aut-bundesliga,2021
FC Admira Wacker,SV Ried,1:2 (1:0),16:00,aut-bundesliga,2021
Austria Wien,RB Salzburg,0:1 (0:0),16:00,aut-bundesliga,2021
LASK,WSG Tirol,3:0 (1:0),13:30,aut-bundesliga,2021
Wolfsberger AC,Rapid Wien,4:1 (3:1),16:00,aut-bundesliga,2021
SCR Altach,Sturm Graz,0:1 (0:1),18:00,aut-bundesliga,2021
RB Salzburg,FC Admira Wacker,0:0 (0:0),16:00,aut-bundesliga,2021
SV Ried,TSV Hartberg,1:0 (1:0),16:00,aut-bundesliga,2021
Rapid Wien,SCR Altach,1:0 (0:0),16:00,aut-bundesliga,2021
WSG Tirol,Wolfsberger AC,5:1 (2:1),13:30,aut-bundesliga,2021
SK Austria Klagenfurt,Austria Wien,0:0 (0:0),13:30,aut-bundesliga,2021
Sturm Graz,LASK,3:3 (1:3),16:00,aut-bundesliga,2021
FC Admira Wacker,Wolfsberger AC,0:1 (0:0),16:00,aut-bundesliga,2021
SK Austria Klagenfurt,RB Salzburg,2:1 (1:0),16:00,aut-bundesliga,2021
SCR Altach,WSG Tirol,0:3 (0:1),16:00,aut-bundesliga,2021
Austria Wien,Sturm Graz,2:1 (0:0),13:30,aut-bundesliga,2021
TSV Hartberg,LASK,2:1 (0:0),13:30,aut-bundesliga,2021
SV Ried,Rapid Wien,2:2 (1:1),16:00,aut-bundesliga,2021
WSG Tirol,SK Austria Klagenfurt,0:1 (0:0),16:00,aut-bundesliga,2021
RB Salzburg,TSV Hartberg,2:1 (0:1),16:00,aut-bundesliga,2021
Sturm Graz,FC Admira Wacker,1:1 (1:1),16:00,aut-bundesliga,2021
LASK,SV Ried,1:0 (1:0),13:30,aut-bundesliga,2021
Wolfsberger AC,SCR Altach,3:0 (1:0),16:00,aut-bundesliga,2021
Rapid Wien,Austria Wien,1:1 (1:1),16:00,aut-bundesliga,2021
RB Salzburg,WSG Tirol,5:0 (1:0),16:00,aut-bundesliga,2021
SV Ried,SCR Altach,2:1 (1:0),16:00,aut-bundesliga,2021
TSV Hartberg,Wolfsberger AC,2:2 (1:2),16:00,aut-bundesliga,2021
FC Admira Wacker,Rapid Wien,1:2 (1:1),13:30,aut-bundesliga,2021
SK Austria Klagenfurt,Sturm Graz,0:3 (0:2),13:30,aut-bundesliga,2021
Austria Wien,LASK,2:3 (2:2),16:00,aut-bundesliga,2021
Rapid Wien,RB Salzburg,1:2 (1:0),18:30,aut-bundesliga,2021
Wolfsberger AC,SV Ried,2:1 (1:1),16:00,aut-bundesliga,2021
WSG Tirol,Sturm Graz,2:2 (1:1),16:00,aut-bundesliga,2021
SCR Altach,Austria Wien,0:2 (0:2),16:00,aut-bundesliga,2021
TSV Hartberg,FC Admira Wacker,1:1 (0:1),13:30,aut-bundesliga,2021
LASK,SK Austria Klagenfurt,2:2 (1:0),16:00,aut-bundesliga,2021
Austria Wien,TSV Hartberg,2:0 (1:0),16:00,aut-bundesliga,2021
FC Admira Wacker,LASK,0:3 (0:2),16:00,aut-bundesliga,2021
SV Ried,WSG Tirol,3:2 (3:0),16:00,aut-bundesliga,2021
RB Salzburg,Wolfsberger AC,2:0 (0:0),13:30,aut-bundesliga,2021
SK Austria Klagenfurt,SCR Altach,2:0 (2:0),13:30,aut-bundesliga,2021
Sturm Graz,Rapid Wien,2:2 (1:1),16:00,aut-bundesliga,2021
SCR Altach,FC Admira Wacker,0:2 (0:1),16:00,aut-bundesliga,2021
SK Austria Klagenfurt,SV Ried,1:1 (1:0),16:00,aut-bundesliga,2021
Austria Wien,Wolfsberger AC,1:0 (0:0),16:00,aut-bundesliga,2021
WSG Tirol,Rapid Wien,0:2 (0:2),16:00,aut-bundesliga,2021
Sturm Graz,TSV Hartberg,3:0 (0:0),16:00,aut-bundesliga,2021
LASK,RB Salzburg,0:0 (0:0),19:30,aut-bundesliga,2021
RB Salzburg,SCR Altach,4:0 (3:0),16:00,aut-bundesliga,2021
FC Admira Wacker,Austria Wien,1:2 (1:0),16:00,aut-bundesliga,2021
Wolfsberger AC,LASK,1:0 (0:0),16:00,aut-bundesliga,2021
SV Ried,Sturm Graz,2:2 (0:0),16:00,aut-bundesliga,2021
Rapid Wien,SK Austria Klagenfurt,3:0 (1:0),16:00,aut-bundesliga,2021
TSV Hartberg,WSG Tirol,0:1 (0:1),16:00,aut-bundesliga,2021
